region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callwait,forward,confer,ebill,lninc,custcat,churn
Zone 2,13,44,Married,9,64,College degree,5,No,Male,2,No,No,Yes,No,3.7,0,0,7.5,0,37.45,0,0,110,0,No,No,No,No,No,Yes,No,No,4.16,Basic service,Yes
Zone 3,11,33,Married,7,136,Post-undergraduate degree,5,No,Male,6,Yes,No,Yes,Yes,4.4,20.75,0,15.25,35.7,42,211.45,0,125,380.35,No,Yes,Yes,No,Yes,Yes,Yes,No,4.91,Total service,Yes
Zone 3,68,52,Married,24,116,Did not complete high school,29,No,Female,2,Yes,No,Yes,No,18.15,18,0,30.25,0,"1,300.60","1,247.20",0,"2,150.00",0,No,No,No,No,Yes,No,Yes,No,4.75,Plus service,No
Zone 2,33,33,Unmarried,12,33,High school degree,0,No,Female,1,No,No,No,No,9.45,0,0,0,0,288.8,0,0,0,0,No,No,No,No,No,No,No,No,3.5,Basic service,Yes
Zone 2,23,30,Married,9,30,Did not complete high school,2,No,Male,4,No,No,No,No,6.3,0,0,0,0,157.05,0,0,0,0,No,No,No,No,No,Yes,Yes,No,3.4,Plus service,No
Zone 2,41,39,Unmarried,17,78,High school degree,16,No,Female,1,Yes,No,Yes,No,11.8,19.25,0,13.5,0,487.4,798.4,0,570,0,No,No,No,No,Yes,No,No,No,4.36,Plus service,No
Zone 3,45,22,Married,2,19,High school degree,4,No,Female,5,No,No,Yes,No,10.9,0,0,8.75,0,504.5,0,0,415,0,Yes,No,No,Yes,Yes,No,No,Yes,2.94,E-service,Yes
Zone 2,38,35,Unmarried,5,76,High school degree,10,No,Male,3,Yes,Yes,Yes,Yes,6.05,45,50.1,23.25,64.9,239.55,"1,873.05","1,820.90",880,"2,256.70",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.33,Total service,No
Zone 3,45,59,Married,7,166,College degree,31,No,Male,5,Yes,No,Yes,No,9.75,28.5,0,12,0,449.05,"1,240.15",0,505,0,Yes,No,No,No,Yes,Yes,Yes,No,5.11,Plus service,No
Zone 1,68,41,Married,21,72,Did not complete high school,22,No,Male,3,No,No,Yes,No,24.15,0,0,16.5,0,"1,659.70",0,0,"1,155.00",0,Yes,No,No,No,No,No,No,No,4.28,E-service,No
Zone 2,5,33,Unmarried,10,125,College degree,5,No,Female,1,No,Yes,No,No,4.85,0,26.15,0,0,17.25,0,110.1,0,0,No,No,Yes,Yes,No,No,No,Yes,4.83,Basic service,Yes
Zone 3,7,35,Unmarried,14,80,High school degree,15,No,Female,1,Yes,No,Yes,No,7.1,22,0,23.75,0,47.45,166.1,0,145,0,No,Yes,No,No,Yes,Yes,Yes,No,4.38,Plus service,No
Zone 1,41,38,Married,8,37,High school degree,9,No,Female,3,No,No,Yes,No,8.55,0,0,41.75,0,308.7,0,0,"1,650.00",0,No,No,No,No,No,No,No,No,3.61,Basic service,No
Zone 2,57,54,Married,30,115,College degree,23,No,Female,3,Yes,Yes,No,Yes,15.6,46.25,46.7,0,61.05,825.35,"2,624.25","2,590.95",0,"3,348.85",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.74,Total service,Yes
Zone 2,9,46,Unmarried,3,25,Did not complete high school,8,No,Female,2,No,No,No,No,4.4,0,0,0,0,36.8,0,0,0,0,No,No,No,No,No,No,No,No,3.22,Basic service,No
Zone 1,29,38,Married,12,75,Post-undergraduate degree,1,No,Male,4,No,Yes,Yes,No,5.1,0,30.25,11.25,0,146.25,0,780.8,295,0,Yes,No,No,Yes,No,No,No,No,4.32,E-service,No
Zone 3,60,57,Unmarried,38,162,High school degree,30,No,Male,1,Yes,Yes,Yes,No,16.15,29.75,31.3,30,0,946.9,"1,767.60","1,788.95","1,795.00",0,Yes,No,No,No,Yes,Yes,Yes,No,5.09,Plus service,No
Zone 3,34,48,Unmarried,3,49,High school degree,6,No,Female,3,Yes,No,No,No,6.65,18.5,0,0,0,230.8,614.3,0,0,0,No,No,No,No,Yes,Yes,Yes,No,3.89,Plus service,No
Zone 2,1,24,Unmarried,3,20,Did not complete high school,3,No,Male,1,No,No,No,No,1.05,0,0,0,0,1.05,0,0,0,0,No,No,No,No,No,No,No,No,3,Basic service,No
Zone 1,26,29,Married,3,77,College degree,2,No,Male,4,No,Yes,Yes,Yes,6.7,0,48.1,24.25,38.3,140.95,0,"1,132.80",610,910.1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.34,Total service,Yes
Zone 3,6,30,Unmarried,7,16,Some college,1,No,Female,1,No,Yes,No,Yes,3.75,0,33.8,0,18.7,25.65,0,175.3,0,78.2,Yes,No,Yes,Yes,Yes,No,No,No,2.77,E-service,Yes
Zone 1,68,52,Married,17,120,Did not complete high school,24,No,Male,2,No,No,Yes,No,20.7,0,0,22,0,"1,391.05",0,0,"1,505.00",0,No,No,No,No,No,Yes,No,No,4.79,Basic service,No
Zone 3,53,33,Unmarried,10,101,Post-undergraduate degree,4,No,Female,2,No,Yes,Yes,Yes,5.3,0,49.6,26.75,51.4,253.35,0,"2,499.80","1,340.00","2,645.15",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.62,Total service,No
Zone 3,55,48,Married,19,67,Did not complete high school,25,No,Male,3,No,No,Yes,No,15.05,0,0,27.25,0,810.45,0,0,"1,390.00",0,No,No,No,No,No,No,No,No,4.2,Basic service,No
Zone 3,14,43,Married,18,36,Did not complete high school,5,No,Male,5,Yes,No,Yes,No,12.5,19.75,0,18,0,153.75,273.75,0,215,0,No,No,No,No,Yes,Yes,Yes,No,3.58,Plus service,No
Zone 2,1,21,Unmarried,0,33,High school degree,0,No,Female,3,Yes,No,Yes,No,2.2,20.75,0,40.5,0,2.2,20.75,0,40.5,0,No,No,No,No,Yes,Yes,Yes,No,3.5,Plus service,No
Zone 2,42,40,Unmarried,7,37,High school degree,8,No,Female,1,Yes,Yes,Yes,Yes,8.25,23.5,36.9,28,37.4,399.15,950.65,"1,532.90","1,190.00","1,562.00",Yes,Yes,No,Yes,Yes,No,Yes,Yes,3.61,Total service,No
Zone 3,25,33,Married,11,31,Did not complete high school,5,No,Male,4,No,No,No,No,9.1,0,0,0,0,234.95,0,0,0,0,Yes,No,No,No,No,Yes,No,No,3.43,Plus service,No
Zone 1,9,21,Married,1,17,High school degree,2,No,Female,3,No,No,No,No,2.9,0,0,0,0,25.25,0,0,0,0,No,No,No,No,No,No,No,No,2.83,Basic service,No
Zone 2,13,33,Married,9,19,College degree,0,No,Female,2,No,Yes,No,No,5.55,0,27.35,0,0,75.25,0,330.65,0,0,Yes,No,No,Yes,No,No,Yes,Yes,2.94,E-service,No
Zone 1,56,37,Married,6,36,Did not complete high school,13,No,Female,2,No,Yes,Yes,No,10.6,0,31.1,18.25,0,582.6,0,"1,756.35","1,005.00",0,Yes,No,No,Yes,No,No,No,Yes,3.58,E-service,No
Zone 1,71,53,Married,27,155,Post-undergraduate degree,12,No,Male,2,Yes,No,Yes,Yes,21,56,0,34,49.95,"1,519.20","4,064.30",0,"2,345.00","3,646.90",Yes,Yes,No,Yes,No,Yes,Yes,Yes,5.04,Total service,No
Zone 1,35,50,Married,26,140,High school degree,21,No,Female,4,Yes,No,Yes,No,6.5,27.5,0,35,0,247.55,"1,068.25",0,"1,215.00",0,No,No,No,No,Yes,Yes,Yes,No,4.94,Plus service,No
Zone 1,11,27,Married,8,55,Post-undergraduate degree,0,No,Male,3,No,Yes,No,No,4.8,0,19.55,0,0,54.1,0,220.4,0,0,Yes,No,No,Yes,No,No,No,No,4.01,E-service,No
Zone 2,60,46,Married,13,163,Some college,24,No,Male,2,Yes,Yes,Yes,Yes,33.9,38.25,44.65,13.75,55.25,"1,947.95","2,326.35","2,645.85",840,"3,125.95",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09,Total service,No
Zone 3,20,35,Married,11,52,College degree,0,No,Male,2,No,Yes,No,No,4.25,0,30.55,0,0,82.7,0,547.15,0,0,Yes,No,No,Yes,No,No,No,Yes,3.95,E-service,Yes
Zone 2,54,60,Unmarried,38,211,College degree,25,No,Male,1,Yes,Yes,Yes,Yes,21.15,39.25,46.35,54.25,54.85,"1,228.70","2,102.25","2,421.30","2,785.00","2,895.85",Yes,Yes,Yes,Yes,No,No,Yes,Yes,5.35,Total service,No
